2018-02-28T13:46:25.523+0800 I CONTROL  [initandlisten] MongoDB starting : pid=29045 port=27003 dbpath=/usr/local/mongo-cluster-sharding/shards/node3/data/db 64-bit host=kieren.local
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] db version v3.4.7
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] git version: cf38c1b8a0a8dca4a11737581beafef4fe120bcd
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] OpenSSL version: OpenSSL 0.9.8zg 14 July 2015
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] allocator: system
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] modules: none
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] build environment:
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten]     distarch: x86_64
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten]     target_arch: x86_64
2018-02-28T13:46:25.524+0800 I CONTROL  [initandlisten] options: { config: "node3/mongodb.conf", net: { bindIp: "127.0.0.1", port: 27003 }, processManagement: { fork: true }, replication: { replSet: "set1" }, storage: { dbPath: "/usr/local/mongo-cluster-sharding/shards/node3/data/db" }, systemLog: { destination: "file", logAppend: true, path: "/usr/local/mongo-cluster-sharding/shards/node3/log/mongodb.log" } }
2018-02-28T13:46:25.524+0800 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=3584M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),checkpoint=(wait=60,log_size=2GB),statistics_log=(wait=0),
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] 
2018-02-28T13:46:27.330+0800 I CONTROL  [initandlisten] ** WARNING: soft rlimits too low. Number of files is 256, should be at least 1000
2018-02-28T13:46:27.740+0800 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/usr/local/mongo-cluster-sharding/shards/node3/data/db/diagnostic.data'
2018-02-28T13:46:28.142+0800 I REPL     [initandlisten] Did not find local voted for document at startup.
2018-02-28T13:46:28.142+0800 I REPL     [initandlisten] Did not find local replica set configuration document at startup;  NoMatchingDocument: Did not find replica set configuration document in local.system.replset
2018-02-28T13:46:28.142+0800 I NETWORK  [thread1] waiting for connections on port 27003
2018-02-28T14:04:09.508+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64601 #1 (1 connection now open)
2018-02-28T14:04:09.509+0800 I -        [conn1] end connection 127.0.0.1:64601 (1 connection now open)
2018-02-28T14:04:09.512+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64603 #2 (1 connection now open)
2018-02-28T14:04:09.513+0800 I NETWORK  [conn2] received client metadata from 127.0.0.1:64603 conn2: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:09.515+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27001
2018-02-28T14:04:09.516+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27001, took 2ms (1 connections now open to 127.0.0.1:27001)
2018-02-28T14:04:11.523+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64612 #3 (2 connections now open)
2018-02-28T14:04:11.524+0800 I -        [conn3] end connection 127.0.0.1:64612 (2 connections now open)
2018-02-28T14:04:11.602+0800 I REPL     [replExecDBWorker-0] Starting replication storage threads
2018-02-28T14:04:11.803+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:64614 #4 (2 connections now open)
2018-02-28T14:04:11.803+0800 I NETWORK  [conn4] received client metadata from 127.0.0.1:64614 conn4: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.7" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "15.3.0" } }
2018-02-28T14:04:11.803+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to 127.0.0.1:27002
2018-02-28T14:04:11.803+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to 127.0.0.1:27002, took 0ms (1 connections now open to 127.0.0.1:27002)
2018-02-28T14:04:11.820+0800 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
